"";"B";"n";"freq"
"1";7;4573;0,060182139
"2";8;5097;0,067078146
"3";13;1168;0,015371253
"4";14;5753;0,075711315
"5";15;4291;0,056470929
"6";18;3624;0,047692996
"7";27;2337;0,030755666
"8";35;8946;0,117732214
"9";37;994;0,013081357
"10";38;1818;0,02392546
"11";39;1318;0,0173453
"12";40;2633;0,03465112
"13";41;859;0,011304714
"14";42;89;0,001171268
"15";44;11426;0,150369805
"16";45;1001;0,013173479
"17";46;4;5,26e-05
"18";47;204;0,002684705
"19";48;64;0,00084226
"20";49;2579;0,033940463
"21";50;2851;0,037520069
"22";51;8122;0,106888111
"23";52;560;0,007369779
"24";53;813;0,010699339
"25";54;4;5,26e-05
"26";55;832;0,010949385
"27";56;291;0,003829653
"28";57;2173;0,028597373
"29";58;1422;0,018713974
"30";67;23;0,000302687
"31";73;28;0,000368489
"32";78;82;0,001079146
"33";81;6;7,9e-05
"34";82;1;1,32e-05
